Date,Expenses,,Amount
1/15/2020,Transportation,,400
1/15/2020,Transportation,,100
1/16/2020,Food/Drinks,,35
1/16/2020,Eating/Going Out,,140
1/16/2020,Transportation,,150
1/16/2020,Grocery,,1500
1/18/2020,Home,,500
1/18/2020,Transportation,,120
1/19/2020,Transportation,,30
1/19/2020,Grocery,,133.55
1/19/2020,Transportation,,40
1/20/2020,Transportation,,40
1/20/2020,Grocery,,77.17
1/20/2020,Electricity/Water,,551
1/20/2020,Transportation,,40
1/21/2020,Transportation,,40
1/21/2020,Transportation,,40
1/22/2020,Phone/Internet,,50
1/22/2020,Eating/Going Out,,96
1/22/2020,Transportation,,40
1/22/2020,Transportation,,46
1/23/2020,Food/Drinks,,35
1/23/2020,Transportation,,40
1/23/2020,Grocery,,174.75
1/24/2020,Clothing/Shoes/Personal Items,,802
1/25/2020,Transportation,,40
1/25/2020,Food/Drinks,,15
1/26/2020,Transportation,,40
1/26/2020,Transportation,,40
1/27/2020,Transportation,,40
1/27/2020,Grocery,,119
1/27/2020,Transportation,,40
1/28/2020,Transportation,,40
1/28/2020,Transportation,,40
1/29/2020,Transportation,,40
1/29/2020,Phone/Internet,,50
1/29/2020,Transportation,,40
1/29/2020,Eating/Going Out,,139
1/29/2020,Food/Drinks,,15
1/29/2020,Grocery,,88.3
1/30/2020,Transportation,,40
1/31/2020,Grocery,,940.05
1/31/2020,Electricity/Water,,130.68
1/31/2020,Transportation,,10
1/31/2020,Food/Drinks,,5
2/1/2020,Transportation,,40
2/2/2020,Transportation,,20
2/2/2020,Eating/Going Out,,42
2/2/2020,Transportation,,28
2/2/2020,Transportation,,40
2/3/2020,Food/Drinks,,30
2/3/2020,Transportation,,40
2/3/2020,Grocery,,96.35
2/3/2020,Transportation,,45
2/4/2020,Food/Drinks,,30
2/4/2020,Eating/Going Out,,89
2/4/2020,Transportation,,40
2/4/2020,Debt repayment,,18
2/4/2020,Transportation,,40
2/5/2020,Eating/Going Out,,11
2/5/2020,Eating/Going Out,,79
2/5/2020,Transportation,,40
2/5/2020,Phone/Internet,,50
2/5/2020,Transportation,,40
2/6/2020,Food/Drinks,,30
2/6/2020,Transportation,,40
2/6/2020,Food/Drinks,,50
2/7/2020,Food/Drinks,,60
2/8/2020,Food/Drinks,,24
2/8/2020,Transportation,,40
2/9/2020,Transportation,,40
2/9/2020,Transportation,,40
2/9/2020,Food/Drinks,,15
2/10/2020,Transportation,,40
2/10/2020,Transportation,,40
2/11/2020,Eating/Going Out,,30
2/11/2020,Transportation,,40
2/11/2020,Grocery,,75
2/11/2020,Phone/Internet,,100
2/11/2020,Transportation,,40
2/12/2020,Food/Drinks,,30
2/12/2020,Transportation,,40
2/12/2020,Transportation,,18
2/13/2020,Transportation,,18
2/13/2020,Eating/Going Out,,487
2/13/2020,Hair Cut,,50
2/14/2020,Transportation,,157
2/14/2020,Eating/Going Out,,170
2/14/2020,Grocery,,965.9
2/15/2020,Food/Drinks,,5
2/16/2020,Transportation,,40
2/16/2020,Eating/Going Out,,245
2/17/2020,Transportation,,40
2/17/2020,Grocery,,179.25
2/17/2020,Transportation,,41
2/18/2020,Transportation,,40
2/18/2020,Food/Drinks,,5
2/18/2020,Transportation,,40
2/18/2020,Home,,200
